Histórico de cotações - BBAS3;
Date;value
16/01/2019;49,02
15/01/2019;49,5
14/01/2019;49,18
11/01/2019;48,66
10/01/2019;48,26
09/01/2019;47,84
08/01/2019;47,73
07/01/2019;48,84
04/01/2019;48,73
03/01/2019;48,59
02/01/2019;48,53
28/12/2018;45,68
27/12/2018;44,61
26/12/2018;43,84
21/12/2018;44,11
20/12/2018;44,09
19/12/2018;44,15
18/12/2018;44,01
17/12/2018;43,96
14/12/2018;44,14
13/12/2018;43,65
12/12/2018;43,21
11/12/2018;42,99
10/12/2018;43,19
07/12/2018;44,38
06/12/2018;43,72
05/12/2018;43,81
04/12/2018;43,95
03/12/2018;44,63
30/11/2018;44,83
29/11/2018;45,43
28/11/2018;45,26
27/11/2018;44,81
26/11/2018;44,64
23/11/2018;45,18
22/11/2018;44,33
21/11/2018;43,87
19/11/2018;43,62
16/11/2018;42,65
14/11/2018;41,53
13/11/2018;42,14
12/11/2018;41,94
09/11/2018;40,98
08/11/2018;41,29
07/11/2018;41,79
06/11/2018;42,81
05/11/2018;43,13
01/11/2018;43,14
31/10/2018;42,49
30/10/2018;42,77
29/10/2018;43,23
26/10/2018;40,81
25/10/2018;39,95
24/10/2018;39,73
23/10/2018;39,62
22/10/2018;39,97
19/10/2018;39,53
18/10/2018;39,57
17/10/2018;39,46
16/10/2018;38,98
15/10/2018;37,81
11/10/2018;37,66
10/10/2018;37,5
09/10/2018;39,13
08/10/2018;39,38
05/10/2018;35,51
04/10/2018;34,46
03/10/2018;34,32
02/10/2018;30,43
01/10/2018;28,58
28/09/2018;29,63
27/09/2018;30,12
26/09/2018;29,6
25/09/2018;29,25
24/09/2018;29,95
21/09/2018;30,14
20/09/2018;29,48
19/09/2018;29,64
18/09/2018;29,22
17/09/2018;28,01
14/09/2018;27,29
13/09/2018;27,46
12/09/2018;27,89
11/09/2018;27,84
10/09/2018;29,17
06/09/2018;28,88
05/09/2018;28,77
04/09/2018;28,89
03/09/2018;29,63
31/08/2018;30,24
31/08/2018;30,24
30/08/2018;30,25
29/08/2018;31,05
28/08/2018;30,48
27/08/2018;30,23
24/08/2018;29,55
23/08/2018;29,84
22/08/2018;29,61
21/08/2018;29,73
20/08/2018;30,6
17/08/2018;31,57
16/08/2018;32,55
15/08/2018;32,37
14/08/2018;32,62
13/08/2018;31,79
10/08/2018;32
09/08/2018;33,42
08/08/2018;33,23
07/08/2018;33,98
06/08/2018;34,23
03/08/2018;34,06
02/08/2018;33,26
01/08/2018;32,92
31/07/2018;32,44
30/07/2018;32,97
27/07/2018;32,86
26/07/2018;32,94
25/07/2018;33,49
24/07/2018;33,08
23/07/2018;32,86
20/07/2018;32,89
19/07/2018;30,74
18/07/2018;31,62
17/07/2018;31,52
16/07/2018;30,95
13/07/2018;30,73
12/07/2018;30,36
